id,magnitude,depth,cdi,mmi,sig,label
212,7.3,15,8,7,27,2
213,7.1,10,1,6,8,0
214,6.7,31,5,6,-76,0
215,6.7,22,7,7,-8,1
216,6.6,10,8,7,-35,1
217,7.8,8,8,9,4,3
218,7.5,41,6,7,104,0
219,6.7,23,5,5,-54,0
220,6.7,223,4,6,-68,0
221,6.8,219,1,4,-57,0
222,6.5,8,1,4,-118,0
223,6.6,20,7,6,-59,0
224,6.6,23,1,5,-98,0
225,6.6,614,1,3,-98,0
226,6.8,39,6,5,-55,0
227,6.5,35,5,5,-116,0
228,6.7,22,7,4,-70,0
229,7.1,45,4,6,11,0
230,7.1,434,3,6,8,0
231,7.3,40,8,6,-42,1
232,6.7,130,5,5,-44,0
233,6.8,101,6,6,-27,0
234,6.9,13,0,4,-36,0
235,6.9,615,0,6,-36,0
236,6.5,20,5,4,-62,0
237,6.9,53,8,7,55,2
238,6.7,18,0,5,-77,0
239,6.9,8,0,5,-36,0
240,7.9,109,6,8,-61,0
241,6.9,20,0,5,-36,0
242,6.9,6,9,7,-73,0
243,6.5,10,7,5,-74,0
244,7.5,43,0,6,97,0
245,6.6,29,0,6,-98,0
246,7.2,24,8,7,-7,1
247,6.6,10,0,6,-98,0
248,7.4,39,0,6,74,0
249,7.6,22,0,7,121,0
250,6.6,135,6,5,-91,0
251,6.5,20,0,6,-118,0
252,7.1,60,0,7,8,0
253,7.7,22,8,9,33,1
254,6.9,28,0,5,-36,0
255,8.2,25,9,8,52,1
256,6.7,20,7,7,-50,0
257,6.8,16,5,5,-69,0
258,6.5,119,4,5,-100,0
259,6.5,44,0,3,-118,0
260,6.5,187,0,4,-118,0
261,6.5,371,3,4,-117,0
262,7.1,35,6,4,104,0
263,6.6,9,8,5,-76,0
264,6.8,35,0,6,-57,0
265,7.1,19,9,8,68,2
266,6.6,40,5,6,-77,1
267,6.7,573,0,3,-77,0
268,6.5,41,0,4,-118,0
269,7.7,15,5,8,-33,3
270,6.5,20,0,6,-118,0
271,6.5,402,5,3,-29,0
272,6.5,112,4,5,-100,0
273,6.5,8,9,7,-78,1
274,6.7,12,4,5,-53,0
275,6.5,17,6,7,-75,1
276,7.3,385,0,4,52,0
277,6.6,10,0,7,-98,0
278,6.5,30,5,6,-89,0
279,6.7,9,5,4,-58,0
280,6.7,624,0,3,-77,0
281,8.3,598,5,5,91,0
282,7.4,173,0,6,74,0
283,6.8,602,0,3,-57,0
284,6.5,10,0,6,-118,0
285,7.2,110,5,7,36,0
286,7.7,80,8,8,-115,1
287,6.6,31,0,5,-98,0
288,6.5,28,0,6,-118,0
289,6.6,18,0,6,-98,0
290,7.1,21,9,6,12,0
291,6.8,12,0,7,-57,0
292,6.7,11,0,6,-77,0
293,6.8,45,6,7,3,0
294,7.4,24,8,7,-81,1
295,8.2,25,9,6,-67,0
296,7.02,32,8,7,62,2
297,7.3,14,8,7,23,2
298,7.06,10,9,8,7,2
299,6.77,11,7,7,-17,2
300,6.98,23,8,7,-9,2
301,7.36,10,9,9,1,2
302,6.9,18,8,7,-9,2
303,6.97,41,8,7,59,2
304,8.02,20,9,8,-104,2
305,6.72,44,7,7,-20,2
306,8.22,21,8,8,-83,2
307,7.26,18,8,7,29,2
308,6.84,11,9,8,12,2
309,6.83,17,7,7,-7,2
310,7.68,14,9,8,10,2
311,7.92,115,9,8,96,2
312,7,20,8,7,-9,2
313,6.69,10,8,8,-30,2
314,6.57,12,8,7,-9,2
315,6.9,33,8,8,-87,2
316,6.92,19,7,7,-8,2
317,6.91,16,7,7,-13,2
318,7.19,13,8,8,-49,2
319,7.14,14,8,7,25,2
320,6.76,16,8,8,-48,2
321,6.79,58,8,8,66,2
322,6.75,49,8,7,-37,2
323,7.01,13,9,8,15,2
324,6.85,14,7,7,-16,2
325,7.22,10,9,8,2,2
326,6.7,12,7,7,-15,2
327,6.77,16,8,7,-10,2
328,7.73,105,8,8,88,2
329,7.1,25,9,8,70,2
330,6.77,47,8,7,-44,2
331,7.26,10,9,8,0,2
332,7.06,42,8,8,73,2
333,7.04,13,9,8,15,2
334,7.51,227,8,7,-88,2
335,7.76,15,8,8,10,2
336,7.09,46,8,7,-2,2
337,7.09,20,8,8,67,2
338,6.94,19,8,7,-9,2
339,7.07,38,8,7,-4,2
340,6.62,10,7,8,-22,2
341,6.93,19,7,7,-8,2
342,7.25,175,8,7,-66,2
343,6.77,26,7,7,-4,2
344,6.53,11,7,7,1,2
345,6.59,12,8,7,-11,2
346,6.66,52,8,8,58,2
347,6.6,12,8,7,-12,2
348,6.59,11,8,7,15,2
349,6.65,49,8,8,57,2
350,7.3,10,8,8,4,2
351,6.84,12,7,7,-2,2
352,7.1,26,9,8,70,2
353,7.25,14,7,7,-39,2
354,6.84,47,8,8,65,2
355,6.79,13,8,8,-25,2
356,6.62,21,8,7,-13,2
357,6.83,12,9,8,17,2
358,7.25,20,8,7,30,2
359,7.03,20,8,7,-8,2
360,7.45,30,8,8,3,2
361,6.74,11,9,8,15,2
362,6.89,32,8,7,-13,2
363,6.85,18,7,7,-8,2
364,7.9,20,9,8,-111,2
365,6.73,12,9,8,17,2
366,7.7,87,9,8,87,2
367,6.62,11,7,7,-4,2
368,6.74,10,7,8,-27,2
369,6.83,38,8,8,62,2
370,7.16,15,8,8,-3,2
371,7.2,17,8,8,-39,2
372,7.35,14,8,8,-55,2
373,7.21,10,9,8,3,2
374,7.01,37,8,7,44,2
375,7.18,19,8,7,-4,2
376,7.95,19,8,8,-76,2
377,6.95,49,8,7,-9,2
378,6.66,12,9,8,-10,2
379,6.97,13,8,7,23,2
380,6.91,16,7,7,-13,2
381,7.65,20,8,8,-54,2
382,6.53,11,7,7,-5,2
383,7.24,174,8,7,-66,2
384,6.92,19,8,7,-9,2
385,6.65,10,7,8,-25,2
386,6.61,10,7,8,-21,2
387,6.69,10,8,8,-31,2
388,6.61,12,8,7,18,2
389,6.61,12,8,7,-12,2
390,7.07,17,8,8,-29,2
391,6.63,12,8,7,-13,2
392,6.81,49,8,7,-24,2
393,6.78,46,8,7,-17,2
394,7.57,12,9,9,5,2
395,6.91,17,8,7,-15,2
396,6.63,11,8,8,-19,2
397,7.3,37,8,8,1,2
398,6.81,12,7,7,-18,2
399,6.91,12,9,8,16,2
400,7.8,20,8,8,-62,2
401,7.33,79,8,7,71,2
402,6.98,38,8,7,60,2
403,6.8,52,8,8,64,2
404,7.29,14,8,7,26,2
405,6.68,10,7,8,-29,2
406,7.76,15,8,8,8,2
407,6.91,51,8,7,55,2
408,7.03,28,8,7,-6,2
409,6.74,15,7,7,-7,2
410,6.67,11,9,8,17,2
411,6.94,13,8,7,22,2
412,6.79,16,8,7,5,2
413,8.04,20,8,7,-76,2
414,7.17,14,8,8,-3,2
415,7.02,32,8,7,62,2
416,7.03,15,7,7,-27,2
417,7.04,10,9,8,7,2
418,6.9,52,8,8,70,2
419,7.19,10,8,8,0,2
420,6.8,46,8,7,53,2
421,7.59,14,8,8,6,2
422,6.89,53,8,7,55,2
423,6.61,34,8,8,51,2
424,6.78,58,8,7,60,2
425,6.9,26,8,8,40,2
426,7.01,34,8,7,62,2
427,7.02,20,8,7,-10,2
428,6.82,68,8,8,67,2
429,7.16,10,9,8,-1,2
430,6.74,54,8,7,-19,2
431,6.9,33,8,8,-86,2
432,8.17,23,9,8,-88,2
433,6.85,15,8,8,-21,2
434,6.57,12,8,7,-10,2
435,7.31,19,8,8,-38,2
436,6.84,15,8,8,-21,2
437,8.09,77,8,7,-88,2
438,6.68,12,7,7,-13,2
439,7.46,14,9,8,11,2
440,6.72,47,7,7,-20,2
441,6.79,46,8,7,53,2
442,7.14,14,8,7,25,2
443,7.2,17,7,7,-34,2
444,6.68,12,9,8,18,2
445,7.19,10,8,8,0,2
446,6.95,44,8,7,58,2
447,7.18,10,9,8,-1,2
448,6.78,45,8,7,53,2
449,6.62,12,8,7,-12,2
450,6.74,58,8,8,64,2
451,6.71,11,8,8,-35,2
452,6.76,11,7,7,-24,2
453,6.77,59,8,7,60,2
454,7.9,21,8,8,-67,2
455,6.98,31,8,8,66,2
456,6.76,29,8,8,56,2
457,6.99,12,9,8,15,2
458,7.28,23,8,8,-53,2
459,6.64,11,9,8,17,2
460,6.83,27,8,8,58,2
461,7.52,28,9,8,-88,2
462,6.79,74,8,7,-28,2
463,6.83,25,8,8,-68,2
464,6.74,12,9,8,17,2
465,6.77,12,9,8,17,2
466,7.68,15,8,8,13,2
467,6.66,52,8,8,59,2
468,8.25,21,9,8,-90,2
469,7.06,20,8,8,66,2
470,6.88,51,8,7,54,2
471,7.18,14,8,7,25,2
472,6.7,12,9,8,18,2
473,7.41,20,8,8,-43,2
474,7.02,32,9,8,-88,2
475,6.79,58,8,8,66,2
476,7.13,16,8,7,-4,2
477,6.8,10,8,9,-40,2
478,6.92,51,8,7,57,2
479,7.31,16,8,8,-68,2
480,8.28,22,9,8,-88,2
481,6.93,10,8,8,-2,2
482,7.09,43,8,7,74,2
483,6.86,50,8,7,54,2
484,7.05,14,7,7,-43,2
485,7.26,13,8,8,2,2
486,7.3,10,8,8,1,2
487,6.73,13,8,8,-40,2
488,8.28,21,8,7,-87,2
489,6.93,33,9,8,-88,2
490,7.28,18,8,7,32,2
491,6.64,33,8,8,52,2
492,6.88,43,8,8,65,2
493,6.6,12,8,8,-12,2
494,7.53,68,9,8,82,2
495,7.57,8,8,9,10,3
496,6.92,10,8,8,27,3
497,7.23,10,8,8,22,3
498,7.2,20,8,8,-42,3
499,7.4,19,8,8,-23,3
500,7.67,8,8,9,7,3
501,6.79,12,8,8,54,3
502,7.13,20,8,8,-46,3
503,7.24,19,8,8,-32,3
504,7.09,10,9,8,26,3
505,7.06,10,9,8,26,3
506,7.41,16,8,9,-19,3
507,7.2,10,9,8,26,3
508,7.43,16,8,9,-18,3
509,6.6,14,8,8,35,3
510,6.6,10,8,8,28,3
511,7.21,12,9,8,93,3
512,7.39,16,8,9,-20,3
513,7.72,11,8,8,-3,3
514,6.66,13,8,8,33,3
515,7.21,13,9,8,93,3
516,7.12,9,9,9,66,3
517,7.48,19,8,8,-22,3
518,6.6,13,8,8,33,3
519,6.64,8,9,8,24,3
520,6.73,12,8,8,47,3
521,7.63,14,8,8,-11,3
522,7.79,8,7,8,1,3
523,7.23,10,9,8,94,3
524,7.2,9,9,8,74,3
525,7.42,30,8,7,65,3
526,7.11,9,9,9,63,3
527,7.3,19,8,8,-25,3
528,7.25,11,8,8,18,3
529,7.7,15,5,8,-32,3
530,7.75,10,8,8,0,3
531,6.93,16,8,8,14,3
532,6.9,11,8,8,28,3
533,7.92,36,9,7,94,3
534,7.08,32,8,8,75,3
535,6.91,11,8,8,30,3
536,7.19,19,8,8,-36,3
537,7.35,19,8,8,-24,3
538,7.47,12,8,8,-20,3
539,7.65,14,8,8,-9,3
540,7.21,12,9,8,33,3
541,7,14,8,8,-4,3
542,7.59,8,8,8,12,3
543,6.96,10,7,8,5,3
544,7.18,17,8,8,-42,3
545,6.6,10,8,8,28,3
546,7.22,16,9,8,93,3
547,7.46,19,8,8,-19,3
548,6.61,14,8,7,35,3
549,7.58,16,8,8,-15,3
550,7.63,16,5,8,-29,3
551,7.7,15,5,8,-32,3
552,7.36,12,6,8,-15,3
553,7.1,11,8,8,16,3
554,7.25,25,9,8,93,3
555,7.21,12,9,8,31,3
556,6.68,13,8,8,32,3
557,7.7,11,8,8,-4,3
558,7.88,44,9,7,93,3
559,6.95,8,8,8,18,3
560,6.87,16,8,8,-30,3
561,7.17,10,9,8,26,3
562,7.31,17,6,8,-45,3
563,7.29,12,8,8,12,3
564,7.21,20,8,8,-41,3
565,7.35,9,8,8,21,3
566,7.18,9,9,9,88,3
567,7.21,9,9,8,94,3
568,7.31,16,8,8,-4,3
569,7.34,19,8,8,-25,3
570,7.49,19,8,8,-22,3
571,7.32,10,8,8,16,3
572,6.6,13,8,8,34,3
573,7.59,12,8,9,-8,3
574,7.81,44,9,7,93,3
575,6.83,11,8,8,7,3
576,7.13,9,9,9,71,3
577,6.79,13,8,8,30,3
578,6.77,8,8,8,21,3
579,7.95,37,9,7,77,3
580,7.21,10,8,8,25,3
581,7.44,9,8,8,13,3
582,7.78,44,9,7,93,3
583,7.07,15,8,8,-9,3
584,7.25,19,8,8,-31,3
585,7.22,16,8,8,-39,3
586,7.71,43,9,7,93,3
587,7.55,18,8,8,-17,3
588,7.1,20,8,8,-49,3
589,7.51,14,8,9,-13,3
590,7.06,10,9,8,26,3
591,6.68,13,8,8,33,3
592,7.24,16,8,8,-8,3
593,7.2,9,9,8,64,3
594,7.15,9,8,9,21,3
595,7.29,8,8,8,12,3
596,7.1,24,8,7,53,3
597,7.02,19,8,8,-54,3
598,7.73,9,8,8,-1,3
599,7.06,9,9,8,26,3
600,6.71,8,8,8,22,3
601,6.6,9,8,8,26,3
602,7.05,19,7,8,-54,3
603,7.63,11,8,9,-6,3
604,7.26,16,8,8,-9,3
605,7.28,15,8,8,-1,3
606,8.08,42,9,7,94,3
607,6.88,9,9,8,25,3
608,7.5,19,7,8,-22,3
609,7.31,9,8,8,22,3
610,7.29,40,8,8,92,3
611,7.99,45,9,7,93,3
612,7.06,15,9,8,38,3
613,7.59,8,8,8,12,3
614,7.04,9,8,9,24,3
615,7.25,10,9,8,94,3
616,7.71,9,8,8,-2,3
617,7.28,12,8,8,14,3
618,7.2,10,8,8,26,3
619,7.36,41,9,7,93,3
620,7.09,9,9,9,57,3
621,6.79,12,8,8,32,3
622,6.97,11,8,8,30,3
623,7.17,9,9,8,26,3
624,7.76,8,8,9,5,3
625,7.79,8,7,8,0,3
626,6.85,11,8,8,29,3
627,7.08,9,9,8,26,3
628,7.23,20,9,8,48,3
629,6.95,9,9,8,25,3
630,7.66,8,8,9,7,3
631,7.45,18,8,8,-13,3
632,7.99,39,9,7,80,3
633,7.05,10,9,8,26,3
634,6.83,8,9,8,25,3
635,7.2,9,9,8,52,3
636,7.56,16,6,8,-30,3
637,7.58,34,8,7,71,3
638,7.23,19,9,8,93,3
639,7.53,8,8,9,11,3
640,7.49,9,8,8,12,3
641,7.7,27,9,8,94,3
642,6.6,9,8,8,27,3
643,7.24,18,6,8,-47,3
644,6.7,16,8,7,38,3
645,8.14,45,8,7,91,3
646,7.51,19,8,8,-21,3
647,7.01,13,8,8,3,3
648,6.85,11,8,8,60,3
649,7.26,18,8,8,-6,3
650,7.12,16,8,8,-13,3
651,7.46,8,8,9,13,3
652,7.81,44,9,7,93,3
653,7.44,18,9,8,94,3
654,7.52,21,9,8,94,3
655,7.94,37,9,7,94,3
656,6.7,13,8,8,32,3
657,6.97,11,8,8,30,3
658,7.16,8,8,8,14,3
659,7.31,9,8,9,17,3
660,7.05,20,8,8,-52,3
661,6.66,8,9,8,24,3
662,7.17,10,8,8,27,3
663,7.26,9,8,9,18,3
664,7.22,10,8,8,22,3
665,7.2,9,9,8,87,3
666,7.32,10,8,8,16,3
667,6.73,8,9,8,24,3
668,7.77,8,8,9,2,3
669,7.79,8,7,8,1,3
670,7.8,8,7,8,3,3
671,6.62,13,8,8,34,3
672,6.76,8,9,8,24,3
673,7.44,8,8,9,13,3
674,7.23,18,9,8,93,3
675,6.62,14,8,8,36,3
676,6.67,8,9,8,24,3
677,7.79,8,7,8,0,3
678,7.28,35,9,8,93,3
679,7.59,17,6,8,-26,3
680,7.2,9,9,8,79,3
681,7.74,12,6,8,-18,3
682,7.29,36,9,8,93,3
683,7.13,19,8,8,-43,3
684,6.65,8,9,8,24,3
685,6.6,9,8,8,26,3
686,8.12,46,9,7,93,3
687,7.26,29,9,8,93,3
688,7.66,13,8,8,-8,3
689,7.86,44,9,7,93,3
690,7.02,9,9,8,26,3
691,6.99,16,8,8,10,3
692,6.96,16,8,8,11,3
693,7.09,10,9,8,26,3
694,7.27,32,9,8,93,3
695,7.2,9,9,8,42,3
696,7.66,15,5,8,-31,3
697,6.7,12,8,8,32,3
698,7.23,33,9,8,77,3
699,6.76,12,8,8,31,3
700,7.17,8,8,8,14,3
701,7.06,19,7,8,-54,3
702,7.51,16,6,8,-29,3
703,7.11,10,9,8,26,3
704,7.14,19,7,8,-51,3
705,7.3,19,8,8,-25,3
706,6.6,11,8,8,30,3
707,7.26,16,8,8,-36,3
708,7.2,9,9,8,32,3
709,7.64,15,5,8,-34,3
710,7.5,21,9,7,47,3
711,7.25,38,8,8,88,3
712,7.35,18,8,8,-14,3
713,7.16,9,9,9,79,3
714,7.2,10,9,8,26,3
715,7.15,20,8,8,-45,3
716,6.54,9,5,7,-62,1
717,6.5,9,7,7,-105,1
718,6.97,30,9,7,68,1
719,7.11,8,8,8,109,1
720,7.74,31,7,7,-21,1
721,6.69,63,5,6,-111,1
722,6.78,76,6,6,-106,1
723,6.8,13,7,7,-69,1
724,6.77,34,6,6,10,1
725,6.5,12,7,7,-76,1
726,7.19,21,7,7,-5,1
727,6.74,19,7,7,-99,1
728,7.84,27,9,8,57,1
729,6.82,13,8,7,-79,1
730,7.79,22,9,7,53,1
731,8.22,18,9,7,3,1
732,7.62,23,9,7,9,1
733,6.76,14,8,7,-67,1
734,6.5,9,9,8,-28,1
735,7.45,24,8,7,-81,1
736,7.35,24,8,7,-32,1
737,7.1,101,8,6,-80,1
738,7.19,144,6,6,22,1
739,7.42,124,7,7,-40,1
740,6.58,13,6,7,-46,1
741,6.5,10,6,7,-52,1
742,6.88,14,8,7,-79,1
743,7.1,145,6,6,55,1
744,6.9,18,9,8,112,1
745,6.68,11,6,8,-36,1
746,7.06,144,6,6,35,1
747,7.49,145,7,6,119,1
748,6.9,120,6,6,-110,1
749,6.64,53,7,6,116,1
750,7.17,16,8,8,24,1
751,6.57,11,7,7,-103,1
752,6.98,135,5,6,11,1
753,7.18,146,7,6,48,1
754,6.5,9,6,7,-104,1
755,6.55,9,8,7,-31,1
756,7.01,19,7,7,-113,1
757,6.54,11,6,7,-101,1
758,7.45,24,8,7,-81,1
759,6.74,12,8,7,-71,1
760,6.96,18,8,7,-34,1
761,6.95,134,6,6,-116,1
762,8.19,24,8,8,51,1
763,7.1,145,6,6,55,1
764,6.93,11,9,7,13,1
765,6.81,10,4,7,-35,1
766,7.43,26,8,7,-116,1
767,6.95,22,9,7,107,1
768,6.74,35,7,7,118,1
769,7.44,15,9,6,30,1
770,7.34,24,8,7,-2,1
771,7.65,21,7,8,33,1
772,6.95,29,9,7,67,1
773,7.49,16,8,7,46,1
774,6.78,39,8,6,110,1
775,6.56,14,6,7,-103,1
776,7.7,19,8,7,28,1
777,7.5,126,8,7,69,1
778,6.5,9,5,7,-58,1
779,6.85,82,6,6,-43,1
780,6.75,16,8,7,-35,1
781,7.3,21,9,8,9,1
782,6.71,12,8,7,48,1
783,6.59,10,8,7,-35,1
784,7.14,47,7,6,-115,1
785,7.76,22,8,7,-4,1
786,6.62,15,6,7,-73,1
787,6.69,12,6,7,-66,1
788,6.54,17,6,7,-75,1
789,6.5,8,6,7,-69,1
790,7.59,88,7,7,-115,1
791,6.7,40,7,7,118,1
792,7.47,26,8,7,-112,1
793,7.54,39,8,7,-127,1
794,7.7,21,8,8,32,1
795,7.85,135,8,6,-34,1
796,7.28,74,7,7,-115,1
797,6.99,30,8,6,-45,1
798,6.81,38,6,6,10,1
799,7.17,20,7,7,105,1
800,6.84,33,8,6,108,1
801,6.53,12,8,8,-36,1
802,6.86,9,3,8,-34,1
803,7.11,145,7,6,58,1
804,6.6,14,9,7,12,1
805,6.7,14,8,7,-63,1
806,6.74,14,8,7,51,1
807,6.5,8,8,7,-75,1
808,7.5,126,8,7,69,1
809,6.5,17,7,7,-125,1
810,7.7,16,8,6,23,1
811,7.57,26,8,7,-31,1
812,6.95,13,3,7,-35,1
813,7.42,24,8,7,-81,1
814,6.68,18,6,7,-76,1
815,7.39,23,7,7,-81,1
816,7.13,27,5,6,-39,1
817,7.29,17,8,8,26,1
818,7.2,141,5,6,-6,1
819,6.83,83,7,6,-99,1
820,6.62,54,7,6,117,1
821,7.56,78,7,7,-115,1
822,7.91,23,8,8,41,1
823,6.77,16,6,7,-115,1
824,7.09,142,5,6,-2,1
825,7.26,142,7,6,35,1
826,7.05,13,7,7,107,1
827,6.55,16,6,7,-74,1
828,6.87,31,8,6,107,1
829,6.66,11,6,8,-36,1
830,6.9,5,7,7,111,1
831,6.53,10,7,7,-103,1
832,6.5,18,7,7,-124,1
833,7.11,17,8,7,-32,1
834,6.9,108,5,6,43,1
835,7.07,22,5,7,-37,1
836,7.2,24,8,7,-119,1
837,7.03,143,5,6,18,1
838,6.53,9,8,7,-30,1
839,6.67,49,7,6,115,1
840,6.74,17,7,7,-103,1
841,7.18,21,7,7,104,1
842,6.5,8,6,7,-68,1
843,7.72,15,9,7,7,1
844,6.88,89,7,6,-94,1
845,7.48,89,7,6,-48,1
