player,champion,games,winrate,pickrate
Bdd,Ziggs,1,1.0,0.0003
BeryL,Soraka,1,0.0,0.0003
BeryL,Yuumi,2,0.5,0.0005
Blaber,Ekko,3,0.6667,0.0008
Blaber,Jarvan IV,3,0.3333,0.0008
Blaber,Lee Sin,5,0.6,0.0013
Blaber,Nidalee,4,0.0,0.0011
Blaber,Qiyana,5,0.8,0.0013
Blaber,Sejuani,1,0.0,0.0003
Blaber,Sylas,1,0.0,0.0003
Blaber,Taliyah,3,0.6667,0.0008
Blaber,Talon,2,0.0,0.0005
Blaber,Udyr,1,1.0,0.0003
Bwipo,Aatrox,1,1.0,0.0003
Bwipo,Diana,2,0.0,0.0005
Bwipo,Ekko,10,0.4,0.0026
Bwipo,Ezreal,1,0.0,0.0003
Bwipo,Galio,1,1.0,0.0003
Bwipo,Gangplank,1,0.0,0.0003
Bwipo,Graves,5,0.4,0.0013
Bwipo,Hecarim,2,0.5,0.0005
Bwipo,Jarvan IV,7,0.8571,0.0019
Bwipo,Karthus,2,0.0,0.0005
Bwipo,Lee Sin,7,0.4286,0.0019
Bwipo,Olaf,1,1.0,0.0003
Bwipo,Renekton,1,0.0,0.0003
Bwipo,Rumble,3,0.3333,0.0008
Bwipo,Ryze,1,1.0,0.0003
Bwipo,Sett,2,0.0,0.0005
Bwipo,Taliyah,1,0.0,0.0003
Bwipo,Viego,8,0.75,0.0021
Bwipo,Xin Zhao,7,0.7143,0.0019
Canna,Aatrox,2,0.5,0.0005
Canna,Anivia,1,1.0,0.0003
Canna,Azir,3,1.0,0.0008
Canna,Fiora,13,0.6154,0.0034
Canna,Gangplank,3,0.6667,0.0008
Canna,Graves,31,0.6774,0.0082
Canna,Irelia,4,1.0,0.0011
Canna,Jayce,5,0.8,0.0013
Canna,Kayn,1,1.0,0.0003
Canna,Kennen,3,1.0,0.0008
Canna,Lee Sin,2,0.0,0.0005
Canna,Sylas,1,1.0,0.0003
Canna,Syndra,1,0.0,0.0003
Canna,Tryndamere,2,1.0,0.0005
Canna,Vladimir,1,1.0,0.0003
Canna,Yone,2,0.5,0.0005
Canyon,Aatrox,1,1.0,0.0003
Canyon,Diana,2,1.0,0.0005
Canyon,Ekko,7,0.7143,0.0019
Canyon,Elise,1,0.0,0.0003
Canyon,Gragas,2,0.0,0.0005
Canyon,Graves,3,0.3333,0.0008
Canyon,Irelia,1,0.0,0.0003
Canyon,Jarvan IV,7,0.2857,0.0019
Canyon,Kayn,1,1.0,0.0003
Canyon,Lee Sin,8,0.5,0.0021
Canyon,Lillia,2,0.5,0.0005
Canyon,Nidalee,1,1.0,0.0003
Canyon,Nunu & Willump,5,0.8,0.0013
Canyon,Poppy,7,0.8571,0.0019
Canyon,Qiyana,13,0.5385,0.0034
Canyon,Skarner,1,1.0,0.0003
Canyon,Sylas,5,0.8,0.0013
Canyon,Taliyah,13,0.8462,0.0034
Canyon,Talon,9,0.4444,0.0024
Canyon,Viego,2,0.0,0.0005
Canyon,Yone,4,0.5,0.0011
Canyon,Zed,2,0.5,0.0005
Carzzy,Aphelios,11,0.6364,0.0029
Carzzy,Cassiopeia,1,0.0,0.0003
Carzzy,Draven,7,0.8571,0.0019
Carzzy,Ezreal,5,0.8,0.0013
Carzzy,Jhin,2,0.5,0.0005
Carzzy,Jinx,1,0.0,0.0003
Carzzy,Kai'Sa,1,0.0,0.0003
Carzzy,Lucian,16,0.6875,0.0042
Carzzy,Miss Fortune,6,0.5,0.0016
Carzzy,Samira,1,0.0,0.0003
Carzzy,Seraphine,2,1.0,0.0005
Carzzy,Sylas,1,0.0,0.0003
Carzzy,Vladimir,1,0.0,0.0003
Carzzy,Xerath,1,1.0,0.0003
Carzzy,Yasuo,1,0.0,0.0003
Carzzy,Ziggs,4,0.25,0.0011
Chovy,Azir,1,1.0,0.0003
Chovy,Darius,1,1.0,0.0003
Chovy,Fiora,3,1.0,0.0008
Chovy,Galio,1,0.0,0.0003
Chovy,Kennen,1,0.0,0.0003
Chovy,LeBlanc,1,0.0,0.0003
Chovy,Orianna,3,0.6667,0.0008
Chovy,Qiyana,1,0.0,0.0003
Chovy,Sylas,4,0.75,0.0011
Chovy,Tryndamere,2,1.0,0.0005
Chovy,Twisted Fate,5,0.6,0.0013
Chovy,Vayne,1,0.0,0.0003
Chovy,Vladimir,1,0.0,0.0003
Chovy,Yasuo,2,0.5,0.0005
Chovy,Yone,3,0.6667,0.0008
Clid,Diana,4,0.5,0.0011
Clid,Ekko,18,0.5,0.0048
Clid,Graves,7,0.7143,0.0019
Clid,Jarvan IV,8,0.625,0.0021
Clid,Kayn,1,0.0,0.0003
Clid,Lee Sin,20,0.7,0.0053
Clid,Lillia,1,0.0,0.0003
Clid,Nidalee,3,0.6667,0.0008
Clid,Olaf,2,0.5,0.0005
Clid,Qiyana,17,0.6471,0.0045
Clid,Sejuani,1,1.0,0.0003
Clid,Sylas,1,0.0,0.0003
Clid,Taliyah,4,0.75,0.0011
Clid,Talon,8,1.0,0.0021
Clid,Twisted Fate,1,0.0,0.0003
Clid,Viego,6,0.0,0.0016
Clid,Xin Zhao,4,0.75,0.0011
Clid,Zed,2,0.0,0.0005
Closer,Diana,1,0.0,0.0003
Closer,Ekko,4,1.0,0.0011
Closer,Graves,3,1.0,0.0008
Closer,Irelia,1,0.0,0.0003
Closer,Jarvan IV,4,0.75,0.0011
Closer,Lee Sin,8,0.75,0.0021
Closer,Qiyana,10,0.6,0.0026
Closer,Taliyah,4,0.75,0.0011
Closer,Talon,7,0.7143,0.0019
Closer,Viego,4,0.25,0.0011
Closer,Xin Zhao,1,1.0,0.0003
CoreJJ,Alistar,3,0.6667,0.0008
CoreJJ,Amumu,11,0.6364,0.0029
CoreJJ,Bard,2,0.0,0.0005
CoreJJ,Braum,4,0.25,0.0011
CoreJJ,Corki,1,0.0,0.0003
CoreJJ,Ezreal,1,0.0,0.0003
CoreJJ,Galio,1,0.0,0.0003
CoreJJ,Janna,1,1.0,0.0003
CoreJJ,Leona,7,0.1429,0.0019
CoreJJ,Lulu,1,0.0,0.0003
CoreJJ,Nami,5,0.6,0.0013
CoreJJ,Nautilus,4,0.5,0.0011
CoreJJ,Rakan,7,0.5714,0.0019
CoreJJ,Rell,11,0.3636,0.0029
CoreJJ,Senna,1,0.0,0.0003
CoreJJ,Sett,3,0.6667,0.0008
CoreJJ,Thresh,9,0.4444,0.0024
CoreJJ,Yuumi,4,0.5,0.0011
CoreJJ,Zyra,1,1.0,0.0003
CoreJJ,瓦洛兰之盾,3,0.6667,0.0008
Crisp,Aatrox,1,0.0,0.0003
Crisp,Amumu,10,0.6,0.0026
Crisp,Bard,8,1.0,0.0021
Crisp,Blitzcrank,1,0.0,0.0003
Crisp,Brand,4,0.75,0.0011
Crisp,Braum,1,0.0,0.0003
Crisp,Ezreal,1,0.0,0.0003
Crisp,Gragas,4,0.75,0.0011
Crisp,Karma,3,1.0,0.0008
Crisp,Kennen,1,0.0,0.0003
Crisp,Lee Sin,1,1.0,0.0003
Crisp,Leona,2,1.0,0.0005
Crisp,Lillia,1,0.0,0.0003
Crisp,Lucian,1,0.0,0.0003
Crisp,Lulu,5,0.6,0.0013
Crisp,Nami,17,0.4706,0.0045
Crisp,Pyke,8,0.25,0.0021
Crisp,Rakan,19,0.6842,0.005
Crisp,Rell,3,0.6667,0.0008
Crisp,Senna,1,0.0,0.0003
Crisp,Seraphine,1,0.0,0.0003
Crisp,Soraka,3,0.6667,0.0008
Crisp,Sylas,1,1.0,0.0003
Crisp,Talon,1,0.0,0.0003
Crisp,Thresh,1,1.0,0.0003
Crisp,Twisted Fate,1,0.0,0.0003
Crisp,Xin Zhao,1,1.0,0.0003
Crisp,Yuumi,14,0.5714,0.0037
Cryin,Aatrox,2,0.0,0.0005
Cryin,Amumu,1,1.0,0.0003
Cryin,Irelia,21,0.5238,0.0056
Cryin,Jarvan IV,1,1.0,0.0003
Cryin,LeBlanc,8,0.875,0.0021
Cryin,Lee Sin,2,0.0,0.0005
Cryin,Ryze,11,0.6364,0.0029
Cryin,Sylas,5,0.2,0.0013
Cryin,Taliyah,3,0.3333,0.0008
Cryin,Yone,8,0.875,0.0021
Deft,Amumu,1,1.0,0.0003
Deft,Aphelios,9,0.5556,0.0024
Deft,Ashe,1,1.0,0.0003
Deft,Caitlyn,2,0.0,0.0005
Deft,Draven,2,0.0,0.0005
Deft,Ezreal,7,0.8571,0.0019
Deft,Graves,1,1.0,0.0003
Deft,Jhin,2,0.0,0.0005
Deft,Jinx,2,0.5,0.0005
Deft,Kai'Sa,4,0.75,0.0011
Deft,Kalista,5,0.6,0.0013
Deft,Lucian,12,0.6667,0.0032
Deft,Miss Fortune,5,1.0,0.0013
Deft,Vayne,2,0.5,0.0005
Deft,Ziggs,2,0.5,0.0005
Doinb,Azir,1,1.0,0.0003
Doinb,Irelia,3,0.3333,0.0008
Doinb,Jarvan IV,4,0.75,0.0011
Doinb,Kayn,1,0.0,0.0003
Doinb,LeBlanc,16,0.4375,0.0042
Doinb,Lee Sin,2,0.0,0.0005
Doinb,Malzahar,1,1.0,0.0003
Doinb,Orianna,2,0.5,0.0005
Doinb,Rumble,7,0.4286,0.0019
Doinb,Ryze,30,0.7,0.0079
Doinb,Sett,1,1.0,0.0003
Doinb,Sylas,3,0.0,0.0008
Doinb,Taliyah,2,0.0,0.0005
Doinb,Talon,6,0.6667,0.0016
Doinb,Tryndamere,3,0.6667,0.0008
Doinb,Twisted Fate,14,0.5,0.0037
Doinb,Yone,3,0.3333,0.0008
Doinb,Zed,1,1.0,0.0003
DuDu,Aatrox,12,0.75,0.0032
DuDu,Camille,6,0.6667,0.0016
DuDu,Darius,6,0.3333,0.0016
DuDu,Fiora,3,0.3333,0.0008
DuDu,Gnar,1,0.0,0.0003
DuDu,Graves,10,0.4,0.0026
DuDu,Gwen,1,1.0,0.0003
DuDu,Hecarim,1,0.0,0.0003
DuDu,Irelia,11,0.5455,0.0029
DuDu,Jax,4,1.0,0.0011
DuDu,Jayce,1,0.0,0.0003
DuDu,Malphite,2,1.0,0.0005
DuDu,Sylas,4,0.5,0.0011
DuDu,Tahm Kench,6,0.5,0.0016
DuDu,Tryndamere,17,0.6471,0.0045
DuDu,Wukong,1,1.0,0.0003
Elyoya,Ekko,7,0.5714,0.0019
Elyoya,Evelynn,2,0.0,0.0005
Elyoya,Gragas,3,0.0,0.0008
Elyoya,Graves,4,0.5,0.0011
Elyoya,Jarvan IV,3,0.6667,0.0008
Elyoya,Kha'Zix,1,1.0,0.0003
Elyoya,Lee Sin,10,0.6,0.0026
Elyoya,Lucian,1,0.0,0.0003
Elyoya,Nidalee,3,0.6667,0.0008
Elyoya,Olaf,4,0.75,0.0011
Elyoya,Poppy,2,0.5,0.0005
Elyoya,Qiyana,26,0.5,0.0069
Elyoya,Taliyah,19,0.4737,0.005
Elyoya,Talon,14,0.5714,0.0037
Elyoya,Viego,1,1.0,0.0003
Elyoya,Zed,7,0.7143,0.0019
Evi,Camille,1,1.0,0.0003
Evi,Gnar,1,1.0,0.0003
Evi,Gwen,3,1.0,0.0008
Evi,Kennen,4,0.5,0.0011
Evi,Poppy,4,0.5,0.0011
Evi,Renekton,1,1.0,0.0003
Evi,Tryndamere,3,0.3333,0.0008
FBI,Aphelios,3,1.0,0.0008
FBI,Ezreal,6,0.1667,0.0016
FBI,Jhin,2,0.5,0.0005
FBI,Kai'Sa,4,0.75,0.0011
FBI,Lucian,4,0.75,0.0011
FBI,Miss Fortune,5,0.2,0.0013
FBI,Vayne,1,0.0,0.0003
Faker,Ekko,1,0.0,0.0003
Faker,Fizz,1,1.0,0.0003
Faker,Gangplank,1,1.0,0.0003
Faker,Irelia,1,1.0,0.0003
Faker,Kayn,1,0.0,0.0003
Faker,LeBlanc,12,0.4167,0.0032
Faker,Lee Sin,2,0.5,0.0005
Faker,Lissandra,2,1.0,0.0005
Faker,Malzahar,1,1.0,0.0003
Faker,Orianna,2,0.5,0.0005
Faker,Qiyana,2,1.0,0.0005
Faker,Ryze,2,0.5,0.0005
Faker,Singed,4,0.75,0.0011
Faker,Sylas,11,0.8182,0.0029
Faker,Syndra,1,1.0,0.0003
Faker,Talon,1,1.0,0.0003
Faker,Tryndamere,4,0.5,0.0011
Faker,Twisted Fate,6,0.3333,0.0016
Faker,Viego,1,0.0,0.0003
Faker,Yasuo,1,0.0,0.0003
Faker,Yone,1,1.0,0.0003
Faker,Zed,1,0.0,0.0003
Faker,Zoe,2,1.0,0.0005
Flandre,Aatrox,7,0.5714,0.0019
Flandre,Fiora,5,0.8,0.0013
Flandre,Gangplank,1,1.0,0.0003
Flandre,Graves,9,0.4444,0.0024
Flandre,Irelia,18,0.6667,0.0048
Flandre,Jax,4,0.5,0.0011
Flandre,Jayce,8,0.625,0.0021
Flandre,Kennen,3,0.3333,0.0008
Flandre,Lucian,1,0.0,0.0003
Flandre,Qiyana,12,0.6667,0.0032
Flandre,Quinn,1,0.0,0.0003
Flandre,Riven,1,0.0,0.0003
Flandre,Singed,1,0.0,0.0003
Flandre,Sylas,1,1.0,0.0003
Flandre,Tryndamere,1,0.0,0.0003
Flandre,Vayne,1,0.0,0.0003
Flandre,Yasuo,1,0.0,0.0003
Fudge,Camille,1,1.0,0.0003
Fudge,Fiora,3,0.6667,0.0008
Fudge,Graves,1,0.0,0.0003
Fudge,Gwen,1,1.0,0.0003
Fudge,Irelia,2,0.5,0.0005
Fudge,Jayce,1,0.0,0.0003
Fudge,Kennen,1,0.0,0.0003
Fudge,Tryndamere,2,0.5,0.0005
Fudge,Viego,2,0.5,0.0005
GALA,Aphelios,39,0.641,0.0103
GALA,Ezreal,1,0.0,0.0003
GALA,Jinx,14,0.5,0.0037
GALA,Kai'Sa,5,1.0,0.0013
GALA,Kog'Maw,3,0.6667,0.0008
GALA,Lucian,62,0.5968,0.0164
GALA,Miss Fortune,5,0.8,0.0013
GALA,Twitch,1,0.0,0.0003
GALA,Xayah,2,0.5,0.0005
GALA,Ziggs,3,0.6667,0.0008
Gaeng,Alistar,1,0.0,0.0003
Gaeng,Amumu,2,1.0,0.0005
Gaeng,Braum,3,0.6667,0.0008
Gaeng,Camille,1,1.0,0.0003
Gaeng,Gragas,2,0.5,0.0005
Gaeng,Janna,1,0.0,0.0003
Gaeng,Leona,1,0.0,0.0003
Gaeng,Lulu,2,1.0,0.0005
Gaeng,Nami,1,1.0,0.0003
Gaeng,Nautilus,2,1.0,0.0005
Gaeng,Pyke,4,1.0,0.0011
Gaeng,Rakan,5,1.0,0.0013
Gaeng,Rell,1,1.0,0.0003
Gaeng,Sett,4,0.0,0.0011
Gaeng,Thresh,3,0.6667,0.0008
Gaeng,Yuumi,1,1.0,0.0003
Ghost,Aphelios,9,0.8889,0.0024
Ghost,Draven,8,0.5,0.0021
Ghost,Ekko,1,0.0,0.0003
Ghost,Ezreal,1,1.0,0.0003
Ghost,Kai'Sa,2,0.5,0.0005
Ghost,Lee Sin,1,1.0,0.0003
Ghost,Lucian,17,0.4706,0.0045
Ghost,Miss Fortune,3,0.6667,0.0008
Ghost,Tristana,1,0.0,0.0003
Ghost,Twitch,1,1.0,0.0003
Ghost,Vayne,1,1.0,0.0003
Ghost,Xayah,1,1.0,0.0003
Ghost,Ziggs,1,0.0,0.0003
Gumayusi,Aphelios,10,0.6,0.0026
Gumayusi,Caitlyn,1,0.0,0.0003
Gumayusi,Draven,15,0.6667,0.004
Gumayusi,Ekko,1,1.0,0.0003
Gumayusi,Ezreal,5,0.4,0.0013
Gumayusi,Jhin,9,0.5556,0.0024
Gumayusi,Kayn,1,0.0,0.0003
Gumayusi,Lee Sin,4,0.5,0.0011
Gumayusi,Lucian,41,0.7561,0.0108
Gumayusi,Miss Fortune,10,0.5,0.0026
Gumayusi,Twitch,1,1.0,0.0003
Gumayusi,Vayne,1,1.0,0.0003
Gumayusi,Xin Zhao,1,1.0,0.0003
Gumayusi,Ziggs,1,0.0,0.0003
Hanabi,Aatrox,6,0.8333,0.0016
Hanabi,Gnar,5,0.8,0.0013
Hanabi,Gragas,1,0.0,0.0003
Hanabi,Graves,31,0.5484,0.0082
Hanabi,Gwen,9,0.7778,0.0024
Hanabi,Jax,3,0.3333,0.0008
Hanabi,Jayce,4,0.5,0.0011
Hanabi,Kennen,14,0.5714,0.0037
Hanabi,Lee Sin,1,0.0,0.0003
Hanabi,Renekton,1,1.0,0.0003
Hanabi,Sylas,1,1.0,0.0003
Hanabi,Tryndamere,1,0.0,0.0003
Hanabi,Vayne,1,0.0,0.0003
Hans-sama,Aphelios,7,0.5714,0.0019
Hans-sama,Draven,11,0.6364,0.0029
Hans-sama,Ezreal,4,0.5,0.0011
Hans-sama,Jhin,1,1.0,0.0003
Hans-sama,Kai'Sa,1,0.0,0.0003
Hans-sama,Lucian,16,0.625,0.0042
Hans-sama,Miss Fortune,11,0.8182,0.0029
Hans-sama,Syndra,1,1.0,0.0003
Hans-sama,Vayne,1,0.0,0.0003
Huhi,Akali,1,0.0,0.0003
Huhi,Alistar,1,0.0,0.0003
Huhi,Amumu,5,0.2,0.0013
Huhi,Bard,2,0.5,0.0005
Huhi,Karma,1,0.0,0.0003
Huhi,Leona,2,0.5,0.0005
Huhi,Lulu,1,0.0,0.0003
Huhi,Nami,2,1.0,0.0005
Huhi,Pyke,2,0.5,0.0005
Huhi,Rakan,1,1.0,0.0003
Huhi,Shen,1,1.0,0.0003
Huhi,Sylas,3,0.3333,0.0008
Humanoid,Ahri,1,0.0,0.0003
Humanoid,Azir,13,0.3846,0.0034
Humanoid,Ezreal,1,1.0,0.0003
Humanoid,Graves,1,0.0,0.0003
Humanoid,Jayce,1,0.0,0.0003
Humanoid,Jhin,1,0.0,0.0003
Humanoid,LeBlanc,8,0.5,0.0021
Humanoid,Lucian,1,1.0,0.0003
Humanoid,Nasus,1,1.0,0.0003
Humanoid,Nilah,2,0.5,0.0005
Humanoid,Orianna,1,0.0,0.0003
Humanoid,Ryze,1,1.0,0.0003
Humanoid,Sylas,4,0.75,0.0011
Humanoid,Tryndamere,1,0.0,0.0003
Humanoid,Twisted Fate,5,0.0,0.0013
Humanoid,Vex,4,0.5,0.0011
Humanoid,Yone,1,0.0,0.0003
Hylissang,Leona,1,1.0,0.0003
Hylissang,Nami,5,0.6,0.0013
Hylissang,Pyke,1,1.0,0.0003
Hylissang,Rakan,1,0.0,0.0003
Inspired,Talon,1,1.0,0.0003
Iwandy,Amumu,4,0.75,0.0011
Iwandy,Bard,2,0.5,0.0005
Iwandy,Braum,1,1.0,0.0003
Iwandy,Ezreal,2,0.0,0.0005
Iwandy,Fiora,1,0.0,0.0003
Iwandy,Galio,1,1.0,0.0003
Iwandy,Irelia,1,0.0,0.0003
Iwandy,Janna,6,0.8333,0.0016
Iwandy,Jax,2,0.0,0.0005
Iwandy,Kai'Sa,1,0.0,0.0003
Iwandy,Karma,2,0.5,0.0005
Iwandy,Kha'Zix,1,0.0,0.0003
Iwandy,Lee Sin,4,0.5,0.0011
Iwandy,Leona,9,0.6667,0.0024
Iwandy,Lucian,2,1.0,0.0005
Iwandy,Lulu,1,0.0,0.0003
Iwandy,Miss Fortune,1,0.0,0.0003
Iwandy,Nami,15,0.5333,0.004
Iwandy,Nautilus,1,1.0,0.0003
Iwandy,Pyke,11,0.8182,0.0029
Iwandy,Rakan,34,0.7059,0.009
Iwandy,Rell,10,0.6,0.0026
Iwandy,Senna,2,0.5,0.0005
Iwandy,Sett,1,1.0,0.0003
Iwandy,Soraka,1,1.0,0.0003
Iwandy,Sylas,4,0.5,0.0011
Iwandy,Taliyah,1,0.0,0.0003
Iwandy,Talon,1,1.0,0.0003
Iwandy,Thresh,4,0.75,0.0011
Iwandy,Trundle,2,1.0,0.0005
Iwandy,Vayne,2,0.5,0.0005
Iwandy,Xerath,1,0.0,0.0003
Iwandy,Yuumi,13,0.6154,0.0034
Iwandy,Zed,1,0.0,0.0003
Iwandy,时光守护者,3,1.0,0.0008
Jensen,Aphelios,2,0.5,0.0005
Jensen,Aurelion Sol,1,0.0,0.0003
Jensen,Azir,3,0.3333,0.0008
Jensen,Cassiopeia,1,1.0,0.0003
Jensen,Ezreal,1,0.0,0.0003
Jensen,Heimerdinger,1,0.0,0.0003
Jensen,Irelia,11,0.4545,0.0029
Jensen,Katarina,1,0.0,0.0003
Jensen,LeBlanc,3,1.0,0.0008
Jensen,Lucian,1,1.0,0.0003
Jensen,Miss Fortune,2,0.5,0.0005
Jensen,Orianna,1,0.0,0.0003
Jensen,Qiyana,1,1.0,0.0003
Jensen,Senna,1,1.0,0.0003
Jensen,Sylas,10,0.8,0.0026
Jensen,Tryndamere,7,0.8571,0.0019
Jensen,Twisted Fate,1,1.0,0.0003
Jensen,Yone,20,0.6,0.0053
Jensen,Zoe,1,1.0,0.0003
Jiejie,Corki,1,0.0,0.0003
Jiejie,Diana,5,0.6,0.0013
Jiejie,Draven,6,0.3333,0.0016
Jiejie,Ekko,1,0.0,0.0003
Jiejie,Evelynn,1,1.0,0.0003
Jiejie,Graves,8,0.5,0.0021
Jiejie,Jarvan IV,5,0.8,0.0013
Jiejie,Kayn,2,0.5,0.0005
Jiejie,Kha'Zix,3,0.6667,0.0008
Jiejie,Kindred,3,1.0,0.0008
Jiejie,Lee Sin,9,0.6667,0.0024
Jiejie,Lillia,6,0.8333,0.0016
Jiejie,Nidalee,9,0.7778,0.0024
Jiejie,Olaf,1,1.0,0.0003
Jiejie,Poppy,5,0.6,0.0013
Jiejie,Qiyana,16,0.5,0.0042
Jiejie,Taliyah,4,0.75,0.0011
Jiejie,Talon,9,0.6667,0.0024
Jiejie,Vayne,2,0.0,0.0005
Jiejie,Viego,2,1.0,0.0005
Jiejie,Xin Zhao,5,0.8,0.0013
Jiejie,Zed,1,0.0,0.0003
Kaiser,Aatrox,2,1.0,0.0005
Kaiser,Amumu,2,0.5,0.0005
Kaiser,Bard,1,1.0,0.0003
Kaiser,Braum,1,0.0,0.0003
Kaiser,Leona,12,0.5,0.0032
Kaiser,Lulu,2,1.0,0.0005
Kaiser,Lux,1,1.0,0.0003
Kaiser,Nami,8,0.5,0.0021
Kaiser,Nautilus,3,1.0,0.0008
Kaiser,Pyke,2,0.5,0.0005
Kaiser,Rakan,5,0.8,0.0013
Kaiser,Rell,2,1.0,0.0005
Kaiser,Senna,3,0.6667,0.0008
Kaiser,Seraphine,1,1.0,0.0003
Kaiser,Sett,2,0.5,0.0005
Kaiser,Soraka,1,0.0,0.0003
Kaiser,Thresh,3,0.6667,0.0008
Kaiser,Yuumi,4,0.5,0.0011
Kaiwing,Amumu,5,0.4,0.0013
Kaiwing,Braum,1,1.0,0.0003
Kaiwing,Nautilus,2,1.0,0.0005
Kaiwing,Rakan,1,0.0,0.0003
Kaiwing,Rell,19,0.7895,0.005
Kaiwing,Senna,1,1.0,0.0003
Kaiwing,Thresh,1,1.0,0.0003
Keria,Amumu,2,0.5,0.0005
Keria,Annie,5,0.6,0.0013
Keria,Aphelios,1,1.0,0.0003
Keria,Ekko,2,0.5,0.0005
Keria,Fiora,1,0.0,0.0003
Keria,Gragas,1,1.0,0.0003
Keria,Graves,1,1.0,0.0003
Keria,Irelia,2,0.5,0.0005
Keria,Jayce,1,1.0,0.0003
Keria,Lee Sin,2,0.0,0.0005
Keria,Leona,1,0.0,0.0003
Keria,Lucian,1,0.0,0.0003
Keria,Lulu,1,1.0,0.0003
Keria,Nami,4,1.0,0.0011
Keria,Nautilus,1,0.0,0.0003
Keria,Pyke,1,1.0,0.0003
Keria,Rakan,1,1.0,0.0003
Keria,Rengar,1,0.0,0.0003
Keria,Senna,1,1.0,0.0003
Keria,Seraphine,1,1.0,0.0003
